"inmateid","admitted_dt","discharged_dt","custody_level","bradh","race","gender","age","inmate_status_code","sealed","srg_flg","top_charge","infraction"
"20216388","2021-11-14T12:28:56.000",,"MIN","Y","O","M","25","DE","N","N","220.39","N"
"20203223","2022-04-23T11:56:25.000",,"MED","Y","W","M","29","DE","N","N","155.35","N"
"20194796","2020-12-10T12:55:00.000",,"MAX","N","B","M","33","DE","N","N","125.25","Y"
"20205780","2021-04-17T20:46:30.000",,"MAX","Y","B","M","26","DE","N","Y","120.10","N"
"33590","2019-12-11T16:10:00.000",,"MAX","N","B","M","37","DE","N","Y","265.03","Y"
"20008300","2022-03-30T16:24:22.000",,"MAX","N","B","M","35","DE","N","N","120.10","N"
"20209668","2022-01-12T18:20:43.000",,"MED","N","O","M","28","DE","N","N","140.25","N"
"94684","2022-03-31T22:45:52.000",,"MAX","Y","O","M","50","DE","N","Y","140.20","Y"
"20210150","2020-05-27T23:43:00.000",,"MAX","N","B","M","30","DE","N","Y","125.25","Y"
"159669","2022-02-11T13:02:09.000",,"MED","N","B","M","31","DE","N","N","220.16","N"
"11485","2022-05-31T14:25:23.000",,"MIN","N","B","M","60","CS","N","N","110-265.03","N"
"20219148","2022-06-14T15:49:56.000",,,"N","O","M","36","CS","N","N","130.52","N"
"17084","2022-05-28T00:46:22.000",,"MIN","N","A","F","55","DE","N","N","160.15","N"
"65637","2022-04-26T13:51:01.000",,"MIN","N","U","M","36","CS","N","N","110-265.03","N"
"20108133","2022-01-19T11:03:00.000",,"MAX","N","B","M","28","DE","N","Y","135.20","N"
"20125846","2022-06-24T12:22:42.000",,,"N","A","M","37","DEP","N","N","CO","N"
"20218244","2022-04-15T23:40:22.000",,"MED","N","O","M","22","DE","N","N","160.15","N"
"20218853","2022-05-25T17:01:42.000",,"MED","N","W","M","44","DE","N","N","C-COM","N"
"20010895","2021-08-08T00:59:35.000",,"MAX","Y","O","M","31","DE","N","N","160.05","Y"
"20217085","2022-01-22T12:56:46.000",,"MIN","Y","B","M","35","DE","N","N","140.20","Y"
"20214646","2022-05-20T15:12:43.000",,"MIN","N","B","M","37","SSR","N","N",,"N"
"86862","2021-03-10T01:18:02.000",,"MAX","Y","O","M","32","DE","N","N","135.25","Y"
"20218028","2022-04-01T00:17:00.000",,"MIN","Y","O","M","68","DE","N","N","120.05","N"
"20171702","2022-05-11T01:56:32.000",,"MAX","N","B","M","27","DE","N","N","160.15","N"
"20196004","2022-04-03T10:26:12.000",,"MED","Y","B","M","21","DE","N","Y","265.03","Y"
"118341","2022-04-29T16:39:08.000",,"MAX","Y","B","M","37","CS","N","Y","160.15","N"
"20215843","2021-09-24T13:48:22.000",,"MED","Y","W","M","28","DE","N","N","220.16","Y"
"20196577","2022-06-11T01:38:57.000",,"MAX","N","B","M","23","DE","N","N","110-265.03","N"
"133860","2018-11-24T21:22:52.000",,"MED","Y","W","M","56","DE","N","N","125.25","N"
"20036134","2021-12-10T22:33:22.000",,"MIN","Y","W","M","29","DE","N","N","160.15","N"
"144577","2018-12-11T16:56:00.000",,"MED","N","B","M","51","DE","N","N","125.25","N"
"18896","2021-02-06T13:27:51.000",,"MAX","Y","B","M","37","DE","N","Y","265.03","Y"
"145664","2022-04-08T00:51:00.000",,"MIN","N","B","M","70","DE","N","N","140.20","N"
"20114348","2022-06-09T15:21:15.000",,"MAX","N","W","M","32","DE","N","N","110-160.15","N"
"64623","2022-06-23T22:26:14.000",,,"N","O","M","41","DE","N","N","155.30","N"
"20210212","2022-02-19T19:17:10.000",,"MED","N","B","M","20","DE","N","N","1192(3)","Y"
"20204573","2022-06-03T00:32:00.000",,"MED","Y","W","F","24","DE","N","N","120.05","N"
"20188223","2018-05-12T14:56:00.000",,"MAX","Y","B","M","25","DE","N","Y","125.25","Y"
"62293","2022-04-18T11:24:37.000",,"MIN","Y","O","M","37","DE","N","N","140.25","N"
"120146","2021-07-14T11:55:00.000",,"MED","N","B","M","42","DE","N","N","265.03","N"
"20214831","2022-06-28T15:00:55.000",,,"N","B","M","35","DE","N","N","140.30","N"
"20140595","2022-06-19T20:36:00.000",,"MED","Y","B","M","26","DE","N","N","120.00","N"
"79187","2021-12-22T17:44:04.000",,"MED","Y","B","M","35","DE","N","N","120.10","N"
"20211836","2020-10-29T17:01:46.000",,"MIN","N","O","M","45","DNS","N","N",,"N"
"20207807","2022-03-30T16:12:09.000",,"MED","Y","B","M","20","CS","N","Y","110-265.03","N"
"20165825","2021-10-02T11:33:39.000",,"MAX","N","O","M","24","DE","N","N","120.10","Y"
"20207532","2019-10-11T14:44:09.000",,"MED","N","O","M","55","DE","N","N","120.10","Y"
"20024987","2020-11-22T01:21:00.000",,"MED","N","B","M","41","DE","N","N","125.25","Y"
"20082834","2022-02-10T15:40:00.000",,"MAX","Y","O","M","27","DE","N","Y",,"Y"
"20091811","2021-10-03T19:14:40.000",,"MIN","N","O","M","45","DE","N","N","110-120.10","Y"
"165858","2022-06-24T01:00:00.000",,,"Y","B","M","30","DE","N","N","145.00","N"
"97053","2021-11-28T13:31:49.000",,"MED","Y","B","M","43","DE","N","Y","160.15","N"
"81932","2022-04-19T11:24:39.000",,"MIN","N","B","M","35","CS","N","N","265.01","N"
"20219040","2022-06-07T17:05:33.000",,"MED","N","O","M","34","DE","N","N","105.17","N"
"20209077","2022-05-02T01:34:48.000",,"MIN","N","B","M","22","DE","N","N","265.03","N"
"27820","2022-06-08T14:08:18.000",,"MIN","N","O","M","35","CS","N","N","120.14","N"
"20104544","2022-04-24T12:43:24.000",,"MED","Y","B","M","38","DE","N","N","160.10","N"
"20217346","2022-02-09T00:33:08.000",,"MIN","Y","A","M","32","DE","N","N","110-160.15","N"
"20167225","2022-05-23T00:42:14.000",,"MIN","Y","I","M","30","CS","N","N","265.02","N"
"20203434","2021-12-22T10:33:30.000",,"MAX","Y","B","M","20","SSR","N","Y",,"Y"
"20154078","2022-05-22T20:35:15.000",,"MAX","Y","B","M","31","DE","N","N","160.10","N"
"20207546","2019-10-11T23:38:32.000",,"MIN","N","O","M","54","DE","N","N","110-125.25","Y"
"20094285","2022-05-06T20:32:42.000",,"MED","N","W","M","35","CS","N","N","220.03","N"
"20065393","2022-04-17T08:29:27.000",,"MED","Y","W","M","35","DE","N","N","165.52","N"
"20162009","2022-05-13T17:57:52.000",,"MED","Y","O","M","34","DE","N","N","170.25","N"
"20169897","2022-06-05T01:00:42.000",,"MED","N","O","M","33","DE","N","N","460.20","N"
"20100235","2022-04-07T12:06:33.000",,"MIN","N","B","M","37","DE","N","N","265.03","N"
"95753","2022-03-28T19:37:14.000",,"MIN","Y","B","M","61","DE","N","N","120.05","N"
"20928","2022-03-16T22:25:29.000",,"MAX","Y","O","M","35","CS","N","N","215.50","N"
"142532","2021-12-30T13:55:00.000",,"MED","Y","B","F","45","DE","N","N","140.25","Y"
"20199068","2022-06-08T00:55:17.000",,"MAX","N","B","M","26","DE","N","Y","110-125.25","N"
"165520","2021-03-18T00:38:46.000",,"MAX","Y","O","M","31","DE","N","Y","265.03","Y"
"20218495","2022-05-04T12:11:20.000",,"MED","N","B","M","31","DE","N","N","265.03","N"
"79221","2021-07-13T17:11:07.000",,"MAX","Y","B","M","32","DE","N","Y","125.25","Y"
"126614","2019-08-01T21:18:37.000",,"MED","N","B","M","40","DE","N","N","125.25","N"
"20212415","2022-04-18T11:43:19.000",,"MED","N","B","M","24","CS","N","N",,"N"
"20034532","2022-01-21T16:19:44.000",,"MAX","Y","O","M","39","DE","N","N","160.15","N"
"20206302","2019-08-10T12:53:00.000",,"MED","N","A","M","45","DE","N","N","125.25","N"
"20206388","2019-08-14T16:27:00.000",,"MED","N","O","M","30","DE","N","N","125.25","N"
"20218257","2022-05-17T12:40:29.000",,"MED","N","B","M","32","DE","N","N","125.25","N"
"20216022","2021-10-13T12:31:45.000",,"MED","N","O","M","42","DE","N","N","130.75","N"
"20207225","2019-09-25T21:06:27.000",,"MAX","Y","O","M","20","DE","N","Y","125.25","Y"
"76626","2022-03-20T20:09:45.000",,"MIN","Y","O","M","58","DE","N","N","110-125.25","N"
"56989","2022-04-13T12:10:44.000",,"MED","N","B","M","34","CS","N","N","265.01B","N"
"134380","2022-01-11T11:40:35.000",,"MAX","Y","B","M","34","DEP","N","Y","265.03","Y"
"20216541","2021-11-27T17:17:39.000",,"MIN","N","O","M","27","DE","N","N","160.15","N"
"20208295","2022-02-17T11:42:38.000",,"MED","N","O","M","31","DE","N","N","121.12","N"
"164385","2020-07-21T16:18:46.000",,"MED","Y","B","M","35","DE","N","N","265.13","N"
"20161440","2021-03-09T23:42:42.000",,"MED","Y","W","M","26","DE","N","N","110-125.25","N"
"20107467","2022-03-16T16:46:07.000",,"MAX","Y","B","M","29","DE","N","Y","110-130.50","N"
"20218537","2022-05-06T17:18:10.000",,"MED","Y","B","M","20","DE","N","Y","160.15","N"
"20150861","2022-04-30T10:26:21.000",,"MIN","N","B","M","23","DE","N","N","110-160.15","N"
"20207191","2019-09-23T18:54:00.000",,"MED","Y","O","M","42","DE","N","N","125.25","N"
"20218224","2022-05-01T00:52:03.000",,"MED","N","B","M","18","DE","N","N","160.15","N"
"87641","2021-04-07T12:53:14.000",,"MAX","Y","B","M","35","DE","N","Y","160.15","Y"
"20104444","2022-03-08T17:47:19.000",,"MIN","Y","O","M","44","DE","N","N","120.05","N"
"119456","2022-05-14T16:39:56.000",,"MED","N","B","M","58","DE","N","N","263.15","N"
"20159977","2022-01-28T00:50:02.000",,"MAX","Y","O","M","43","DE","N","N","160.15","N"
"20197853","2022-04-13T00:40:43.000",,"MAX","Y","B","M","21","DE","N","Y","160.15","N"
"20207486","2019-10-09T21:13:15.000",,"MED","Y","O","M","49","DE","N","N","125.25","N"
"20061382","2022-05-21T01:33:42.000",,"MAX","N","B","M","47","DE","N","N","160.05","N"
"20209971","2020-05-07T11:27:26.000",,"MED","Y","W","M","39","DE","N","N","130.96","N"
"20082156","2022-03-03T20:12:54.000",,"MAX","Y","O","M","27","DE","N","N","160.15","N"
"15405","2022-05-04T17:12:54.000",,"MED","N","B","M","42","DE","N","N","265.03","N"
"20213294","2021-03-07T10:47:00.000",,"MAX","Y","O","M","20","DE","N","N","511(1)(A)","Y"
"20197861","2021-09-24T13:29:40.000",,"MED","Y","B","M","20","DE","N","N","160.15","Y"
"21877","2020-12-09T00:58:10.000",,"MIN","Y","B","M","35","DE","N","N","220.39","N"
"20214589","2021-09-09T20:31:34.000",,"MAX","Y","B","M","19","DE","N","N","110-125.25","Y"
"20113992","2020-11-26T20:28:40.000",,"MAX","Y","B","M","25","DNS","N","Y",,"Y"
"20210537","2022-06-16T15:50:04.000",,,"N","O","M","29","CS","N","N","120.05","N"
"20132863","2019-08-12T21:03:59.000",,"MAX","Y","O","M","27","DE","N","Y","125.25","Y"
"20144034","2022-05-04T00:08:57.000",,"MED","Y","A","M","27","DE","N","N","140.25","N"
"20218277","2022-04-19T15:47:09.000",,"MIN","N","W","M","36","DE","N","N","160.05","N"
"20078499","2022-05-17T11:46:59.000",,"MAX","N","B","M","26","DE","N","N","110-125.25","N"
"20140674","2020-01-03T12:18:18.000",,"MAX","N","B","M","40","DE","N","Y","110-125.25","Y"
"20217405","2022-02-12T00:25:30.000",,"MIN","Y","A","M","59","DE","N","N","110-125.25","N"
"85307","2022-03-22T17:52:12.000",,"MED","N","B","M","57","DE","N","N","140.25","N"
"20184416","2019-05-09T16:46:00.000",,"MAX","N","B","M","28","DE","N","Y","125.27","Y"
"20191482","2018-01-24T01:01:46.000",,"MED","N","O","M","34","DE","N","N","125.25","Y"
"20211713","2022-04-02T11:48:54.000",,"MED","N","B","M","59","DE","N","N","160.15","N"
"6441","2021-12-03T01:53:34.000",,"MED","Y","B","M","39","DE","N","N","265.03","Y"
"20210692","2020-08-01T21:02:22.000",,"MED","N","O","M","35","DE","N","N","130.75","N"
"20212821","2021-01-26T10:57:59.000",,"MED","N","B","M","20","DE","N","Y","125.25","Y"
"142571","2022-04-26T13:07:06.000",,"MED","N","B","M","45","CS","N","N","215.50","N"
"20214000","2021-05-09T22:05:50.000",,"MED","Y","A","M","35","DE","N","N","125.25","N"
"20181817","2021-09-04T19:17:50.000",,"MAX","Y","O","M","30","DE","N","Y","110-125.25","Y"
"20218130","2022-04-07T12:11:56.000",,"MIN","N","O","M","28","CS","N","N","110-265.03","N"
"20104555","2018-07-19T23:53:00.000",,"MAX","Y","B","M","28","DE","N","N","125.25","Y"
"76036","2022-02-19T02:11:33.000",,"MAX","N","O","M","39","DE","N","Y","110-125.25","N"
"20159437","2022-04-25T12:32:01.000",,"MED","Y","B","M","30","DE","N","N","110-160.15","N"
"20177106","2022-02-02T20:37:09.000",,"MED","N","W","M","29","DE","N","N","160.15","N"
"20090786","2022-04-16T01:25:24.000",,"MAX","N","O","M","27","DE","N","Y","265.03","N"
"20219335","2022-06-23T22:10:56.000",,"MIN","N","B","M","20","DE","N","N","110-120.10","N"
"20105387","2021-07-12T20:01:44.000",,"MIN","N","O","M","64","DE","N","N","120.05H","N"
"20093308","2021-04-28T16:18:52.000",,"MED","N","W","M","35","DE","N","N","125.25","Y"
"20154123","2022-06-24T18:18:23.000",,,"N","O","M","25","DEP","N","N","CO","N"
"132132","2022-06-08T01:24:33.000",,"MAX","N","W","M","33","DE","N","N","140.25","N"
"20139987","2022-02-02T22:08:18.000",,"MED","Y","B","M","29","DE","N","N","265.03","N"
"20216774","2021-12-17T01:12:00.000",,"MED","N","B","M","23","DE","N","N","160.15","N"
"20159241","2022-01-20T15:40:36.000",,"MIN","Y","O","M","25","CS","N","N","110-120.05","N"
"89736","2019-10-12T14:34:00.000",,"MED","Y","B","M","48","DEP","N","N","125.25","Y"
"20206600","2022-06-15T20:05:09.000",,"MIN","Y","B","M","64","DEP","N","N","VOP","N"
"20170355","2022-01-31T13:17:34.000",,"MAX","Y","O","M","25","DE","N","N","265.03","Y"
"20217564","2022-02-24T11:36:44.000",,"MIN","Y","O","M","23","CS","N","N","125.10","N"
"20204288","2022-03-28T14:08:06.000",,"MED","Y","O","M","22","DE","N","N","110-125.25","N"
"118055","2020-11-19T17:25:13.000",,"MED","Y","B","M","52","DE","N","N","135.20","N"
"20216357","2021-11-11T19:23:00.000",,"MED","N","O","M","29","DE","N","N","130.75","N"
"26781","2022-02-21T12:05:27.000",,"MAX","Y","B","M","42","DE","N","N","140.20","N"
"20214847","2021-07-11T17:25:13.000",,"MED","N","B","M","22","DE","N","Y","265.03","Y"
"20215683","2021-09-12T01:20:01.000",,"MIN","N","O","M","30","DE","N","N","110-120.10","Y"
"20131482","2022-03-03T15:51:00.000",,"MAX","Y","B","M","29","DE","N","N","110-125.25","Y"
"20179683","2020-09-12T12:46:44.000",,"MED","Y","O","M","28","DE","N","N","110-125.25","Y"
"20169417","2022-06-15T16:41:27.000",,"MIN","Y","B","M","36","DE","N","N","140.20","N"
"159803","2022-06-09T14:04:29.000",,"MED","N","W","M","49","DPV","N","Y",,"N"
"20169090","2022-05-31T11:02:18.000",,"MIN","N","O","M","26","DE","N","N","265.03","N"
"20076857","2018-11-30T01:05:00.000",,"MAX","N","B","M","32","DE","N","Y","130.35","Y"
"71459","2022-06-23T20:23:41.000",,,"N","O","M","41","DEP","N","N","155.35","N"
"20041729","2022-05-20T14:19:21.000",,"MED","N","B","M","35","DE","N","N","130.65","N"
"20045393","2019-08-24T19:53:59.000",,"MIN","N","O","M","49","DE","N","N","220.77","N"
"20082906","2022-06-03T20:47:38.000",,"MAX","N","B","M","52","DE","N","N","215.52","Y"
"20006941","2022-05-28T17:23:00.000",,"MED","Y","O","M","31","DE","N","Y","155.35","N"
"20208810","2020-03-11T16:25:00.000",,"MED","Y","O","M","46","DE","N","N","125.25","N"
"20218753","2022-05-19T15:55:28.000",,"MIN","N","O","M","26","DE","N","N","220.43","N"
"20208258","2022-06-28T20:44:34.000",,,"N",,,,"DE","N","N",,"N"
"82755","2022-02-05T16:19:51.000",,"MIN","N","O","M","36","SSR","N","N","220.03","N"
"20205224","2022-06-08T10:21:06.000",,"MED","N","O","M","35","DNS","N","N",,"N"
"20210242","2021-12-08T15:23:31.000",,"MED","Y","O","M","21","DE","N","N","120.10","N"
"20018777","2022-06-01T00:19:55.000",,"MED","Y","B","M","40","DE","N","N","265.03","N"
"72839","2022-04-06T14:48:16.000",,"MED","Y","B","M","34","DNS","N","N",,"Y"
"20164823","2018-10-03T17:49:14.000",,"MED","N","B","M","37","DE","N","Y","135.25","Y"
"40413","2021-07-14T14:50:00.000",,"MAX","Y","B","M","33","DE","N","N","265.03","Y"
"20218905","2022-05-28T13:35:40.000",,"MIN","N","O","M","26","DE","N","N","220.21","N"
